ZINC_ID,standard_smiles
ZINC_145,CCCOc1ccc(-c2nccc(C(C)C)n2)cc1
ZINC_146,CCCOc1ccc(-c2nc(C3CC3)nc(C)c2F)cc1
ZINC_147,CCCOc1ccc(-c2ccc(-c3ccco3)nn2)cc1
ZINC_148,CCCOc1ccc(-c2nnc(OC)c3ccccc23)cc1
ZINC_149,CCCOc1ccc(-c2cc(C)nc(C3CC3)n2)cc1
ZINC_150,CCCOc1ccc(-c2nccc(SC)c2F)cc1
ZINC_151,CCCOc1ccc(-c2ccc(COC(C)C)cn2)cc1
ZINC_152,CCCOc1ccc(-c2cc3cc(C)[nH]c3cn2)cc1
ZINC_153,CCCOc1ccc(-c2ncc3scc(C)c3n2)cc1
ZINC_154,COCCOc1ccc(-c2ncc(C)c3ccccc23)cc1
ZINC_155,COCCOc1ccc(-c2nccc3c(F)cccc23)cc1
ZINC_156,COCCOc1ccc(-c2ncc(F)c3ccccc23)cc1
ZINC_157,COCCOc1ccc(-c2ccc3cc(C)ccc3n2)cc1
ZINC_158,COCCOc1ccc(-c2ccc3cc(F)ccc3n2)cc1
ZINC_159,COCCOc1ccc(-c2cc(C(C)(C)C)ccn2)cc1
ZINC_160,COCCOc1ccc(-c2nccc3cc(F)ccc23)cc1
ZINC_161,COCCOc1ccc(-c2nccc3sc(C)cc23)cc1
ZINC_162,COCCOc1ccc(-c2nc3ccccc3cc2C)cc1
ZINC_163,COCCOc1ccc(-c2nccc3ccc(C)cc23)cc1
ZINC_164,COCCOc1ccc(-c2nc(C)cc3ccccc23)cc1
ZINC_165,COCCOc1ccc(-c2cc3ccc(C)cc3cn2)cc1
ZINC_166,COCCOc1ccc(-c2ccc3cccc(C)c3n2)cc1
ZINC_167,COCCOc1ccc(-c2cc3cc(F)ccc3cn2)cc1
ZINC_168,COCCOc1ccc(-c2ccc3cccc(F)c3n2)cc1
ZINC_169,COCCOc1ccc(-c2nccc3cc(C)ccc23)cc1
ZINC_170,COCCOc1ccc(-c2ccc3scc(C)c3n2)cc1
ZINC_171,COCCOc1ccc(-c2nccc3c(C)cccc23)cc1
ZINC_172,COCCOc1ccc(-c2nccc3ccc(F)cc23)cc1
ZINC_173,COCCOc1ccc(-c2ccc3ccc(F)cc3n2)cc1
ZINC_174,COCCOc1ccc(-c2cc3ccc(F)cc3cn2)cc1
ZINC_175,COCCOc1ccc(-c2nccc3cccc(C)c23)cc1
ZINC_176,COCCOc1ccc(-c2c(C)cc(F)cc2C)cc1
ZINC_177,CCCOc1ccc(-c2ccc3nnccc3c2)cc1
ZINC_178,CCCOc1ccc(-c2cncc3cc[nH]c23)cc1
