index,Paper,Structure name ,Smiles,Standard Relation,Standard Value,Standard Units,Unnamed: 6,InChi,MW,standardized_Standard Units,neg_log_M_Standard_Valuemean,binary_activities,SMILES
147,PMID30934674,Benzyl (1-(benzo[d][13]dioxol-5-yl)-1-oxopropan-2-yl)(methyl)carbamate,CC(C(=O)c1ccc2c(c1)OCO2)N(C)C(=O)OCc1ccccc1,'=',75.57,µM,,KJLZDCGOXZEYGS-UHFFFAOYSA-N,341.126323,um,4.121651,0,CC(C(=O)c1ccc2c(c1)OCO2)N(C)C(=O)OCc1ccccc1
148,PMID30934674,Benzyl ethyl(1-oxo-1-phenylbutan-2-yl)carbamate,CCC(C(=O)c1ccccc1)N(CC)C(=O)OCc1ccccc1,'=',119.47,µM,,DYNXULPQAGURRX-UHFFFAOYSA-N,325.167794,um,3.922741,0,CCC(C(=O)c1ccccc1)N(CC)C(=O)OCc1ccccc1
149,PMID30934674,Benzyl ethyl(1-oxo-1-phenylpropan-2-yl)carbamate ,CCN(C(=O)OCc1ccccc1)C(C)C(=O)c1ccccc1,'=',158.41,µM,,PYUATKHGPMKBTR-UHFFFAOYSA-N,311.152144,um,3.800217,0,CCN(C(=O)OCc1ccccc1)C(C)C(=O)c1ccccc1
150,PMID30934674,Benzyl methyl(1-(naphthalen-1-yl)-1-oxopropan-2-yl)carbamate,CC(C(=O)c1cccc2ccccc12)N(C)C(=O)OCc1ccccc1,'=',105.2,µM,,UNFXYOCNHPIGDG-UHFFFAOYSA-N,347.152144,um,3.977984,0,CC(C(=O)c1cccc2ccccc12)N(C)C(=O)OCc1ccccc1
151,PMID30934674,Benzyl methyl(1-oxo-1-(m-tolyl)propan-2-yl)carbamate,Cc1cccc(C(=O)C(C)N(C)C(=O)OCc2ccccc2)c1,'=',83.32,µM,,QWPBVJZKVQUTHN-UHFFFAOYSA-N,311.152144,um,4.079251,0,Cc1cccc(C(=O)C(C)N(C)C(=O)OCc2ccccc2)c1
152,PMID30934674,Benzyl methyl(1-oxo-1-(p-tolyl)propan-2-yl)carbamate,Cc1ccc(C(=O)C(C)N(C)C(=O)OCc2ccccc2)cc1,'=',40.06,µM,,VLKRKXIYHCDNCK-UHFFFAOYSA-N,311.152144,um,4.397289,0,Cc1ccc(C(=O)C(C)N(C)C(=O)OCc2ccccc2)cc1
153,PMID30934674,Benzyl methyl(1-oxo-1-phenylbutan-2-yl)carbamate,CCC(C(=O)c1ccccc1)N(C)C(=O)OCc1ccccc1,'=',104.15,µM,,OKSKWCWSDIKHCZ-UHFFFAOYSA-N,311.152144,um,3.982341,0,CCC(C(=O)c1ccccc1)N(C)C(=O)OCc1ccccc1
154,PMID30934674,Benzyl methyl(1-oxo-1-phenylpentan-2-yl)carbamate ,CCCC(C(=O)c1ccccc1)N(C)C(=O)OCc1ccccc1,'=',134.65,µM,,MDFPZLHKZSYWHM-UHFFFAOYSA-N,325.167794,um,3.870794,0,CCCC(C(=O)c1ccccc1)N(C)C(=O)OCc1ccccc1
155,PMID30934674,Methyl (1-(3-chlorophenyl)-1-oxopropan-2-yl)(methyl)carbamate ,COC(=O)N(C)C(C)C(=O)c1cccc(Cl)c1,'=',329.68,µM,,ZZJSCKVXACBFKU-UHFFFAOYSA-N,255.066221,um,3.481907,0,COC(=O)N(C)C(C)C(=O)c1cccc(Cl)c1
156,PMID30934674,Methyl (1-(4-bromophenyl)-1-oxopropan-2-yl)(methyl)carbamate,COC(=O)N(C)C(C)C(=O)c1ccc(Br)cc1,'=',282.74,µM,,TUSMGNDYHUZMJS-UHFFFAOYSA-N,299.015705,um,3.548613,0,COC(=O)N(C)C(C)C(=O)c1ccc(Br)cc1
157,PMID30934674,Methyl (1-(4-chlorophenyl)-1-oxopropan-2-yl)(methyl)carbamate,COC(=O)N(C)C(C)C(=O)c1ccc(Cl)cc1,'=',308.8,µM,,XFKKVMFRNYJDQQ-UHFFFAOYSA-N,255.066221,um,3.510323,0,COC(=O)N(C)C(C)C(=O)c1ccc(Cl)cc1
