index,PMID,Chemical Name,Smiles,Standard Value,Standard Units,Standard Relation,Unnamed: 6,Unnamed: 7,InChi,MW,standardized_Standard Units,neg_log_M_Standard_Valuemean,binary_activities,SMILES
89,PMID30939771,(Z)-5-((Dimethylcarbamoyl)oxy)-3-((2-(2-((((3-ethyl-2-(2-oxopropylidene)-23-dihydrobenzo[d]thiazol-5-yl)oxy) carbonyl)oxy)ethoxy)ethyl)carbamoyl)-1-methylquinolin-1-ium methyl sulfate,CCN1/C(=C/C(C)=O)Sc2ccc(OC(=O)OCCOCCNC(=O)c3cc4c(OC(=O)N(C)C)cccc4[n+](C)c3)cc21,81.4,nM,'=',,,QKXVJVUEXIBPQT-NTFVMDSBSA-O,623.217012,nm,7.089376,1,CCN1/C(=C/C(C)=O)Sc2ccc(OC(=O)OCCOCCNC(=O)c3cc4c(OC(=O)N(C)C)cccc4[n+](C)c3)cc21
90,PMID30939771,(Z)-3-((2-(2-((((3-Ethyl-2-(2-oxopropylidene)-23-dihydrobenzo[d]thiazol-5-yl)oxy)carbonyl)oxy)ethoxy)ethyl) carbamoyl)-1-methyl-14-dihydroquinolin-5-yl dimethylcarbamate,CCN1/C(=C/C(C)=O)Sc2ccc(OC(=O)OCCOCCNC(=O)C3=CN(C)c4cccc(OC(=O)N(C)C)c4C3)cc21,1023.1,nM,'=',,,MNLKDWCNUJLTJH-NTFVMDSBSA-N,624.225385,nm,5.990082,0,CCN1/C(=C/C(C)=O)Sc2ccc(OC(=O)OCCOCCNC(=O)C3=CN(C)c4cccc(OC(=O)N(C)C)c4C3)cc21
91,PMID30999586,1234-tetrahydroquinolino[23-b]quinoxalin-12-amine,Nc1c2c(nc3nc4ccccc4nc13)CCCC2,22,µM,'=',,,OJFHAWDTJKTDHE-UHFFFAOYSA-N,250.121846,um,4.657577,0,Nc1c2c(nc3nc4ccccc4nc13)CCCC2
92,PMID31035318,(3-tert-butylphenyl) N-methylcarbamate,CNC(=O)Oc1cccc(C(C)(C)C)c1,320,nM,'=',,,FSJYRLHKLVGCNH-UHFFFAOYSA-N,207.125929,nm,6.49485,1,CNC(=O)Oc1cccc(C(C)(C)C)c1
93,PMID31035318,4-bromo-3-(tert-butyl)phenyl methylcarbamate,CNC(=O)Oc1ccc(Br)c(C(C)(C)C)c1,1200,nM,'=',,,XGIPRSHYEGQJTD-UHFFFAOYSA-N,285.036441,nm,5.920819,0,CNC(=O)Oc1ccc(Br)c(C(C)(C)C)c1
94,PMID31035318,2-bromo-5-(tert-butyl)phenyl methylcarbamate,CNC(=O)Oc1cc(C(C)(C)C)ccc1Br,48,nM,'=',,,ZNDZUMWNLBWPEL-UHFFFAOYSA-N,285.036441,nm,7.318759,1,CNC(=O)Oc1cc(C(C)(C)C)ccc1Br
95,PMID31035318,5-(tert-butyl)-2-iodophenyl methylcarbamate,CNC(=O)Oc1cc(C(C)(C)C)ccc1I,640,nM,'=',,,WJFBOHVIQSZUPH-UHFFFAOYSA-N,333.022577,nm,6.19382,1,CNC(=O)Oc1cc(C(C)(C)C)ccc1I
96,PMID31035318,5-(tert-butyl)-2-hexylphenyl methylcarbamate,CCCCCCc1ccc(C(C)(C)C)cc1OC(=O)NC,6300,nM,'=',,,PKBOKRZPYCZKEA-UHFFFAOYSA-N,291.219829,nm,5.200659,0,CCCCCCc1ccc(C(C)(C)C)cc1OC(=O)NC
97,PMID31035318,4-(allylcarbamoyl)-3-(tert-butyl)phenyl methylcarbamate,C=CCNC(=O)c1ccc(OC(=O)NC)cc1C(C)(C)C,2800,nM,'=',,,JVVPRHHWHDAJMT-UHFFFAOYSA-N,290.163043,nm,5.552842,0,C=CCNC(=O)c1ccc(OC(=O)NC)cc1C(C)(C)C
98,PMID31035318,3-(tert-butyl)-4-(diethylcarbamoyl)phenyl methylcarbamate,CCN(CC)C(=O)c1ccc(OC(=O)NC)cc1C(C)(C)C,2300,nM,'=',,,QHXKSJCTJRDWMI-UHFFFAOYSA-N,306.194343,nm,5.638272,0,CCN(CC)C(=O)c1ccc(OC(=O)NC)cc1C(C)(C)C
99,PMID31035318,3-(tert-butyl)-4-(ethyl(methyl)carbamoyl)phenyl methylcarbamate,CCN(C)C(=O)c1ccc(OC(=O)NC)cc1C(C)(C)C,5500,nM,'=',,,VORGPRSZXGDHNW-UHFFFAOYSA-N,292.178693,nm,5.259637,0,CCN(C)C(=O)c1ccc(OC(=O)NC)cc1C(C)(C)C
100,PMID31035318,5-(tert-butyl)-2-(methylthio)phenyl methylcarbamate,CNC(=O)Oc1cc(C(C)(C)C)ccc1SC,640,nM,'=',,,VPRYKHGZUXQZOR-UHFFFAOYSA-N,253.11365,nm,6.19382,1,CNC(=O)Oc1cc(C(C)(C)C)ccc1SC
101,PMID31035318,5-(tert-butyl)-2-(isobutylthio)phenyl methylcarbamate,CNC(=O)Oc1cc(C(C)(C)C)ccc1SCC(C)C,4700,nM,'=',,,UJCGXWNATPXCHQ-UHFFFAOYSA-N,295.1606,nm,5.327902,0,CNC(=O)Oc1cc(C(C)(C)C)ccc1SCC(C)C
102,PMID31035318,5-(tert-butyl)-2-(isopropylthio)phenyl methylcarbamate,CNC(=O)Oc1cc(C(C)(C)C)ccc1SC(C)C,2200,nM,'=',,,VAOSJJJWRNSGAZ-UHFFFAOYSA-N,281.14495,nm,5.657577,0,CNC(=O)Oc1cc(C(C)(C)C)ccc1SC(C)C
103,PMID31035318,Methylamino-m-(trimethylsilyl)phenylformylate,CNC(=O)Oc1cccc([Si](C)(C)C)c1,490,nM,'=',,,DBYWVEJEFFMIET-UHFFFAOYSA-N,223.102855,nm,6.309804,1,CNC(=O)Oc1cccc([Si](C)(C)C)c1
104,PMID31035318,4-methyl-3-(trimethylsilyl)phenyl methylcarbamate ,CNC(=O)Oc1ccc(C)c([Si](C)(C)C)c1,2400,nM,'=',,,XCPUKIUSORSWEA-UHFFFAOYSA-N,237.118505,nm,5.619789,0,CNC(=O)Oc1ccc(C)c([Si](C)(C)C)c1
105,PMID31035318,3-fluoro-5-(trimethylsilyl)phenyl methylcarbamate ,CNC(=O)Oc1cc(F)cc([Si](C)(C)C)c1,4200,nM,'=',,,ZSNUZYIJKYIVAS-UHFFFAOYSA-N,241.093434,nm,5.376751,0,CNC(=O)Oc1cc(F)cc([Si](C)(C)C)c1
106,PMID31035318,m-[Ethylbis(methyl)silyl]phenylmethylaminoformylate,CC[Si](C)(C)c1cccc(OC(=O)NC)c1,630,nM,'=',,,CLVUONMFFRSPOM-UHFFFAOYSA-N,237.118505,nm,6.200659,1,CC[Si](C)(C)c1cccc(OC(=O)NC)c1
107,PMID31035318,3-(ethyldimethylsilyl)-4-methylphenyl methylcarbamate ,CC[Si](C)(C)c1cc(OC(=O)NC)ccc1C,1400,nM,'=',,,XRVCAVFPAJTFFC-UHFFFAOYSA-N,251.134155,nm,5.853872,0,CC[Si](C)(C)c1cc(OC(=O)NC)ccc1C
108,PMID31035318,3-(ethyldimethylsilyl)-5-fluorophenyl methylcarbamate ,CC[Si](C)(C)c1cc(F)cc(OC(=O)NC)c1,1900,nM,'=',,,WADGOPQZLROVEG-UHFFFAOYSA-N,255.109084,nm,5.721246,0,CC[Si](C)(C)c1cc(F)cc(OC(=O)NC)c1
109,PMID31035318,o-(2-Ethylbutylthio)phenylmethylaminoformylate,CCC(CC)CSc1ccccc1OC(=O)NC,5000,nM,'=',,,PXYJVFDFHLFFFR-UHFFFAOYSA-N,267.1293,nm,5.30103,0,CCC(CC)CSc1ccccc1OC(=O)NC
110,PMID31035318,2-(propylthio)phenyl methylcarbamate ,CCCSc1ccccc1OC(=O)NC,2300,nM,'=',,,FHIAZZANEZLJLO-UHFFFAOYSA-N,225.08235,nm,5.638272,0,CCCSc1ccccc1OC(=O)NC
111,PMID31311169,4-((34-dihydroisoquinolin-2(1H)-yl)methyl)-N-(2-(diisopropylamino)ethyl)benzamide,CC(C)N(CCNC(=O)c1ccc(CN2CCc3ccccc3C2)cc1)C(C)C,21.46,µM,'=',,*deleted second entry of this paper,DELLNLOPRJJQMO-UHFFFAOYSA-N,393.278013,um,4.66837,0,CC(C)N(CCNC(=O)c1ccc(CN2CCc3ccccc3C2)cc1)C(C)C
112,PMID31311169,(4-((6-bromo-34-dihydroisoquinolin-2(1H)-yl)methyl)phenyl)(pyrrolidin-1-yl)methanone,O=C(c1ccc(CN2CCc3cc(Br)ccc3C2)cc1)N1CCCC1,30.61,µM,'=',,,DBLNJPLXMZMQNS-UHFFFAOYSA-N,398.099375,um,4.514137,0,O=C(c1ccc(CN2CCc3cc(Br)ccc3C2)cc1)N1CCCC1
113,PMID31311169,(4-((6-methoxy-34-dihydroisoquinolin-2(1H)-yl)methyl)phenyl)(pyrrolidin-1-yl)methanone,COc1ccc2c(c1)CCN(Cc1ccc(C(=O)N3CCCC3)cc1)C2,12.13,µM,'=',,,FJXNLQWNQYOUCW-UHFFFAOYSA-N,350.199428,um,4.916139,0,COc1ccc2c(c1)CCN(Cc1ccc(C(=O)N3CCCC3)cc1)C2
114,PMID31311169,(4-((67-dimethoxy-34-dihydroisoquinolin-2(1H)-yl)methyl)phenyl)(pyrrolidin-1-yl)methanone,COc1cc2c(cc1OC)CN(Cc1ccc(C(=O)N3CCCC3)cc1)CC2,18.24,µM,'=',,,LEQCWFPYROOXRI-UHFFFAOYSA-N,380.209993,um,4.738975,0,COc1cc2c(cc1OC)CN(Cc1ccc(C(=O)N3CCCC3)cc1)CC2
116,PMID31316368,1-(4-Amino-5-chloro-2-methoxyphenyl)-3-(1-(2-bromobenzyl)piperidin-4-yl)propan-1-one,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(Cc2ccccc2Br)CC1,317,nM,'=',,,CNQCHNBWWBPGSN-UHFFFAOYSA-N,464.086618,nm,6.498941,1,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(Cc2ccccc2Br)CC1
117,PMID31316368,1-(4-Amino-5-chloro-2-methoxyphenyl)-3-(1-(2-fluorobenzyl)piperidin-4-yl)propan-1-one,COc1ccc(Cl)cc1C(=O)CCC1CCN(Cc2ccccc2F)CC1,101.6,nM,'=',,,BISHLEWJIBPCGT-UHFFFAOYSA-N,389.155785,nm,6.993106,1,COc1ccc(Cl)cc1C(=O)CCC1CCN(Cc2ccccc2F)CC1
118,PMID31316368,1-(4-Amino-5-chloro-2-methoxyphenyl)-3-(1-(2-methylbenzyl)piperidin-4-yl)propan-1-one,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(Cc2ccccc2C)CC1,225.2,nM,'=',,,ZUWLVZDXXPYIJE-UHFFFAOYSA-N,400.191756,nm,6.647432,1,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(Cc2ccccc2C)CC1
119,PMID31316368,1-(4-Amino-5-chloro-2-methoxyphenyl)-3-(1-(2-hydroxybenzyl)piperidin-4-yl)propan-1-one,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(Cc2ccccc2O)CC1,57.4,nM,'=',,,CUDXZRHTNSEEAC-UHFFFAOYSA-N,402.17102,nm,7.241088,1,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(Cc2ccccc2O)CC1
120,PMID31316368,1-(4-Amino-5-chloro-2-methoxyphenyl)-3-(1-(3-fluorobenzyl)piperidin-4-yl)propan-1-one,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(Cc2cccc(F)c2)CC1,91,nM,'=',,,ISJBUCQDOUEBSG-UHFFFAOYSA-N,404.166684,nm,7.040959,1,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(Cc2cccc(F)c2)CC1
121,PMID31316368,1-(4-Amino-5-chloro-2-methoxyphenyl)-3-(1-(3-aminobenzyl)piperidin-4-yl)propan-1-one ,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(Cc2cccc(N)c2)CC1,41,nM,'=',,,CSAFZBPIXXBPCQ-UHFFFAOYSA-N,401.187005,nm,7.387216,1,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(Cc2cccc(N)c2)CC1
122,PMID31316368,1-(4-Amino-5-chloro-2-methoxyphenyl)-3-(1-(4-fluorobenzyl)piperidin-4-yl)propan-1-one,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(Cc2ccc(F)cc2)CC1,78.4,nM,'=',,,SFSOMLLLQLIDPP-UHFFFAOYSA-N,404.166684,nm,7.105684,1,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(Cc2ccc(F)cc2)CC1
123,PMID31316368,1-(4-Amino-5-chloro-2-methoxyphenyl)-3-(1-(4-hydroxybenzyl)piperidin-4-yl)propan-1-one,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(Cc2ccc(O)cc2)CC1,6,nM,'=',,,XAKFGSGWXOEUOW-UHFFFAOYSA-N,402.17102,nm,8.221849,1,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(Cc2ccc(O)cc2)CC1
124,PMID31316368,1-(4-Amino-5-chloro-2-methoxyphenyl)-3-(1-(4-methylbenzyl)piperidin-4-yl)propan-1-one,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(Cc2ccc(C)cc2)CC1,450.5,nM,'=',,,FXHWIWVGQHYPNB-UHFFFAOYSA-N,400.191756,nm,6.346305,1,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(Cc2ccc(C)cc2)CC1
125,PMID31316368,1-(4-Amino-5-chloro-2-methoxyphenyl)-3-(1-(5-amino-2-fluorobenzyl)piperidin-4-yl)propan-1-one,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(Cc2cc(N)ccc2F)CC1,152.7,nM,'=',,,JAQHAPPAFQHBQT-UHFFFAOYSA-N,419.177583,nm,6.816161,1,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(Cc2cc(N)ccc2F)CC1
126,PMID31430943,Bis({2-[(1234-tetrahydroacridin-9-yl)amino]ethyl}amino)cyclobut-3-ene-12-dione,O=c1c(NCCNc2c3c(nc4ccccc24)CCCC3)c(NCCNc2c3c(nc4ccccc24)CCCC3)c1=O,3.8,nM,'=',,,PCABKZMGILJJNQ-UHFFFAOYSA-N,560.289974,nm,8.420216,1,O=c1c(NCCNc2c3c(nc4ccccc24)CCCC3)c(NCCNc2c3c(nc4ccccc24)CCCC3)c1=O
127,PMID31430943,Bis({3-[(1234-tetrahydroacridin-9-yl)amino]propyl}amino)cyclobut-3-ene-12-dione ,O=c1c(NCCCNc2c3c(nc4ccccc24)CCCC3)c(NCCCNc2c3c(nc4ccccc24)CCCC3)c1=O,8.4,nM,'=',,,JUNSUEPARJIMRD-UHFFFAOYSA-N,588.321275,nm,8.075721,1,O=c1c(NCCCNc2c3c(nc4ccccc24)CCCC3)c(NCCCNc2c3c(nc4ccccc24)CCCC3)c1=O
128,PMID31430943,Bis({4-[(1234-tetrahydroacridin-9-yl)amino]butyl}amino)cyclobut-3-ene-12-dione,O=c1c(NCCCCNc2c3c(nc4ccccc24)CCCC3)c(NCCCCNc2c3c(nc4ccccc24)CCCC3)c1=O,5.5,nM,'=',,,LDSBPEDABQEXDD-UHFFFAOYSA-N,616.352575,nm,8.259637,1,O=c1c(NCCCCNc2c3c(nc4ccccc24)CCCC3)c(NCCCCNc2c3c(nc4ccccc24)CCCC3)c1=O
129,PMID31430943,Bis({5-[(1234-tetrahydroacridin-9-yl)amino]pentyl}amino)cyclobut-3-ene-12-dione,O=c1c(NCCCCCNc2c3c(nc4ccccc24)CCCC3)c(NCCCCCNc2c3c(nc4ccccc24)CCCC3)c1=O,8.1,nM,'=',,,RNVJSWUNJMMJTG-UHFFFAOYSA-N,644.383875,nm,8.091515,1,O=c1c(NCCCCCNc2c3c(nc4ccccc24)CCCC3)c(NCCCCCNc2c3c(nc4ccccc24)CCCC3)c1=O
130,PMID31430943,Bis({6-[(1234-tetrahydroacridin-9-yl)amino]hexyl}amino)cyclobut-3-ene-12-dione ,O=c1c(NCCCCCCNc2c3c(nc4ccccc24)CCCC3)c(NCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1=O,13,nM,'=',,,BWJFYSQMBQXNBN-UHFFFAOYSA-N,672.415175,nm,7.886057,1,O=c1c(NCCCCCCNc2c3c(nc4ccccc24)CCCC3)c(NCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1=O
131,PMID31430943,Bis({7-[(1234-tetrahydroacridin-9-yl)amino]heptyl}amino)cyclobut-3-ene-12-dione,O=c1c(NCCCCCCCNc2c3c(nc4ccccc24)CCCC3)c(NCCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1=O,32,nM,'=',,,HOIKPDIIDIVOLB-UHFFFAOYSA-N,700.446475,nm,7.49485,1,O=c1c(NCCCCCCCNc2c3c(nc4ccccc24)CCCC3)c(NCCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1=O
132,PMID31430943,Bis({8-[(1234-tetrahydroacridin-9-yl)amino]octyl}amino)cyclobut-3-ene-12-dione,O=c1c(NCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)c(NCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1=O,72,nM,'=',,,INLUTSQCYLQRBW-UHFFFAOYSA-N,728.477775,nm,7.142668,1,O=c1c(NCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)c(NCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1=O
133,PMID31430943,Bis({2-[(6-chloro-1234-tetrahydroacridin-9-yl)amino]ethyl}amino)cyclobut-3-ene-12-dione,O=c1c(NCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c(NCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1=O,4.2,nM,'=',,,VQLUTMVSCLJGAU-UHFFFAOYSA-N,628.21203,nm,8.376751,1,O=c1c(NCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c(NCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1=O
134,PMID31430943,Bis({3-[(6-chloro-1234-tetrahydroacridin-9-yl)amino]propyl}amino)cyclobut-3-ene-12-dione ,O=c1c(NCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c(NCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1=O,2,nM,'=',,,QRCFRKFOMBGMJE-UHFFFAOYSA-N,656.24333,nm,8.69897,1,O=c1c(NCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c(NCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1=O
135,PMID31430943,Bis({4-[(6-chloro-1234-tetrahydroacridin-9-yl)amino]butyl}amino)cyclobut-3-ene-12-dione ,O=c1c(NCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c(NCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1=O,4.6,nM,'=',,,OVMHDPJNWLPLEI-UHFFFAOYSA-N,684.27463,nm,8.337242,1,O=c1c(NCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c(NCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1=O
136,PMID31430943,Bis({5-[(6-chloro-1234-tetrahydroacridin-9-yl)amino]pentyl}amino)cyclobut-3-ene-12-dione,O=c1c(NCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c(NCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1=O,8.2,nM,'=',,,GCTQRTZSNFGBCU-UHFFFAOYSA-N,712.30593,nm,8.086186,1,O=c1c(NCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c(NCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1=O
137,PMID31430943,Bis({6-[(6-chloro-1234-tetrahydroacridin-9-yl)amino]hexyl}amino)cyclobut-3-ene-12-dione,O=c1c(NCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c(NCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1=O,3.2,nM,'=',,,MUUJWKXFMQUZIX-UHFFFAOYSA-N,740.33723,nm,8.49485,1,O=c1c(NCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c(NCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1=O
138,PMID31430943,Bis({7-[(6-chloro-1234-tetrahydroacridin-9-yl)amino]heptyl}amino)cyclobut-3-ene-12-dione,O=c1c(NCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c(NCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1=O,16,nM,'=',,,KTRDCDBFPIOQKU-UHFFFAOYSA-N,768.36853,nm,7.79588,1,O=c1c(NCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c(NCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1=O
139,PMID31430943,Bis({8-[(6-chloro-1234-tetrahydroacridin-9-yl)amino]octyl}amino)cyclobut-3-ene-12-dione ,O=c1c(NCCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c(NCCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1=O,10,nM,'=',,,JYOFGGILXSUEAZ-UHFFFAOYSA-N,796.39983,nm,8,1,O=c1c(NCCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c(NCCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1=O
140,PMID31430943,Bis({2-[(7-methoxy-1234-tetrahydroacridin-9-yl)amino]ethyl}amino)cyclobut-3-ene-12-dione,COc1ccc2nc3c(c(NCCNc4c(NCCNc5c6c(nc7ccc(OC)cc57)CCCC6)c(=O)c4=O)c2c1)CCCC3,170,nM,'=',,,PJLVIPDDWNAUAP-UHFFFAOYSA-N,620.311104,nm,6.769551,1,COc1ccc2nc3c(c(NCCNc4c(NCCNc5c6c(nc7ccc(OC)cc57)CCCC6)c(=O)c4=O)c2c1)CCCC3
141,PMID31430943,Bis({3-[(7-methoxy-1234-tetrahydroacridin-9-yl)amino]propyl}amino)cyclobut-3-ene-12-dione ,COc1ccc2nc3c(c(NCCCNc4c(NCCCNc5c6c(nc7ccc(OC)cc57)CCCC6)c(=O)c4=O)c2c1)CCCC3,1100,nM,'=',,,KICLHCYLGPHVNC-UHFFFAOYSA-N,648.342404,nm,5.958607,0,COc1ccc2nc3c(c(NCCCNc4c(NCCCNc5c6c(nc7ccc(OC)cc57)CCCC6)c(=O)c4=O)c2c1)CCCC3
142,PMID31430943,Bis({4-[(7-methoxy-1234-tetrahydroacridin-9-yl)amino]butyl}amino)cyclobut-3-ene-12-dione,COc1ccc2nc3c(c(NCCCCNc4c(NCCCCNc5c6c(nc7ccc(OC)cc57)CCCC6)c(=O)c4=O)c2c1)CCCC3,4500,nM,'=',,,OFGNAFCUBVWZTG-UHFFFAOYSA-N,676.373704,nm,5.346787,0,COc1ccc2nc3c(c(NCCCCNc4c(NCCCCNc5c6c(nc7ccc(OC)cc57)CCCC6)c(=O)c4=O)c2c1)CCCC3
143,PMID31430943,Bis({5-[(7-methoxy-1234-tetrahydroacridin-9-yl)amino]pentyl}amino)cyclobut-3-ene-12-dione,COc1ccc2nc3c(c(NCCCCCNc4c(NCCCCCNc5c6c(nc7ccc(OC)cc57)CCCC6)c(=O)c4=O)c2c1)CCCC3,120,nM,'=',,,BMJCNBWRFUVPOC-UHFFFAOYSA-N,704.405004,nm,6.920819,1,COc1ccc2nc3c(c(NCCCCCNc4c(NCCCCCNc5c6c(nc7ccc(OC)cc57)CCCC6)c(=O)c4=O)c2c1)CCCC3
144,PMID31430943,Bis({6-[(7-methoxy-1234-tetrahydroacridin-9-yl)amino]hexyl}amino)cyclobut-3-ene-12-dione,COc1ccc2nc3c(c(NCCCCCCNc4c(NCCCCCCNc5c6c(nc7ccc(OC)cc57)CCCC6)c(=O)c4=O)c2c1)CCCC3,150,nM,'=',,,PJCMQMNPUIGMFU-UHFFFAOYSA-N,732.436304,nm,6.823909,1,COc1ccc2nc3c(c(NCCCCCCNc4c(NCCCCCCNc5c6c(nc7ccc(OC)cc57)CCCC6)c(=O)c4=O)c2c1)CCCC3
145,PMID31430943,Bis({7-[(7-methoxy-1234-tetrahydroacridin-9-yl)amino]heptyl}amino)cyclobut-3-ene-12-dione ,COc1ccc2nc3c(c(NCCCCCCCNc4c(NCCCCCCCNc5c6c(nc7ccc(OC)cc57)CCCC6)c(=O)c4=O)c2c1)CCCC3,170,nM,'=',,,WIIWFFBGYREQOA-UHFFFAOYSA-N,760.467604,nm,6.769551,1,COc1ccc2nc3c(c(NCCCCCCCNc4c(NCCCCCCCNc5c6c(nc7ccc(OC)cc57)CCCC6)c(=O)c4=O)c2c1)CCCC3
146,PMID31430943,Bis({8-[(7-methoxy-1234-tetrahydroacridin-9-yl)amino]octyl}amino)cyclobut-3-ene-12-dione,COc1ccc2nc3c(c(NCCCCCCCCNc4c(NCCCCCCCCNc5c6c(nc7ccc(OC)cc57)CCCC6)c(=O)c4=O)c2c1)CCCC3,490,nM,'=',,,SXMNARGMUCOSKJ-UHFFFAOYSA-N,788.498905,nm,6.309804,1,COc1ccc2nc3c(c(NCCCCCCCCNc4c(NCCCCCCCCNc5c6c(nc7ccc(OC)cc57)CCCC6)c(=O)c4=O)c2c1)CCCC3
147,PMID31319560,(1S3R4R5R)-34-bis[[(E)-3-(34-dihydroxyphenyl)prop-2-enoyl]oxy]-15-dihydroxycyclohexane-1-carboxylic acid,O=C(C=Cc1ccc(O)c(O)c1)OC1CC(O)(C(=O)O)CC(O)C1OC(=O)C=Cc1ccc(O)c(O)c1,2.14,µM,'=',,,UFCLZKMFXSILNL-UHFFFAOYSA-N,516.126776,um,5.669586,0,O=C(C=Cc1ccc(O)c(O)c1)OC1CC(O)(C(=O)O)CC(O)C1OC(=O)C=Cc1ccc(O)c(O)c1
148,PMID31319560,57-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,3.42,µM,'=',,,KZNIFHPLKGYRTM-UHFFFAOYSA-N,270.052823,um,5.465974,0,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
149,PMID31319560,5-hydroxy-78-dimethoxy-2-phenylchromen-4-one,COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1OC,2.46,µM,'=',,,IHLSBQVBFDTNTC-UHFFFAOYSA-N,298.084124,um,5.609065,0,COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1OC
150,PMID31683761,5-Oxo-2-phenyl-5H-furo[32-g]chromene-6-carbaldehyde,O=Cc1coc2cc3oc(-c4ccccc4)cc3cc2c1=O,28.6,µM,'=',,,NWDMWJPGRPVOFY-UHFFFAOYSA-N,290.057909,um,4.543634,0,O=Cc1coc2cc3oc(-c4ccccc4)cc3cc2c1=O
151,PMID31683761,2-(3-Fluorophenyl)-5-oxo-5H-furo[32-g]chromene-6-carbaldehyde,O=Cc1coc2cc3oc(-c4cccc(F)c4)cc3cc2c1=O,5.4,µM,'=',,,QLDVDZVHQKASLP-UHFFFAOYSA-N,308.048487,um,5.267606,0,O=Cc1coc2cc3oc(-c4cccc(F)c4)cc3cc2c1=O
152,PMID31683761,2-(4-Fluorophenyl)-5-oxo-5H-furo[32-g]chromene-6-carbaldehyde,O=Cc1coc2cc3oc(-c4ccc(F)cc4)cc3cc2c1=O,15.3,µM,'=',,,AXOXRWLIYNMQFC-UHFFFAOYSA-N,308.048487,um,4.815309,0,O=Cc1coc2cc3oc(-c4ccc(F)cc4)cc3cc2c1=O
153,PMID31683761,2-(3-Chlorophenyl)-5-oxo-5H-furo[32-g]chromene-6-carbaldehyde,O=Cc1coc2cc3oc(-c4cccc(Cl)c4)cc3cc2c1=O,33.4,µM,'=',,fixed,WMLAWIDJCCSXFH-UHFFFAOYSA-N,324.018936,um,4.476254,0,O=Cc1coc2cc3oc(-c4cccc(Cl)c4)cc3cc2c1=O
