index,PMID,Chemical Name,Smiles,Standard Value,Standard Units,Standard Relation,Unnamed: 6,Unnamed: 7,InChi,MW,standardized_Standard Units,neg_log_M_Standard_Valuemean,binary_activities,SMILES
202,PMID31852270,N-(4-((Benzyl(methyl)amino)methyl)phenyl)-6-methoxy-4-oxo-4H-chromene-2-carboxamide,COc1ccc2oc(C(=O)Nc3ccc(CN(C)Cc4ccccc4)cc3)cc(=O)c2c1,1.5 ,µM,'=',,,STLXFNDVTYTKBM-UHFFFAOYSA-N,428.173607,um,5.823909,0,COc1ccc2oc(C(=O)Nc3ccc(CN(C)Cc4ccccc4)cc3)cc(=O)c2c1
203,PMID31852270,N-(4-((Benzyl(methyl)amino)methyl)phenyl)-6-hydroxy-4-oxo-4H-chromene-2-carboxamide,CN(Cc1ccccc1)Cc1ccc(NC(=O)c2cc(=O)c3cc(O)ccc3o2)cc1,1.3 ,µM,'=',,,RVZHWBSHBRCZGG-UHFFFAOYSA-N,414.157957,um,5.886057,0,CN(Cc1ccccc1)Cc1ccc(NC(=O)c2cc(=O)c3cc(O)ccc3o2)cc1
204,PMID31852270,N-(4-((Benzyl(methyl)amino)methyl)phenyl)-57-dimethoxy-4-oxo-4H-chromene-2-carboxamide,COc1cc(OC)c2c(=O)cc(C(=O)Nc3ccc(CN(C)Cc4ccccc4)cc3)oc2c1,3.2 ,µM,'=',,,UUMSQXNZMHBVPY-UHFFFAOYSA-N,458.184172,um,5.49485,0,COc1cc(OC)c2c(=O)cc(C(=O)Nc3ccc(CN(C)Cc4ccccc4)cc3)oc2c1
205,PMID31852270,N-(4-((Benzyl(methyl)amino)methyl)phenyl)-57-dihydroxy-4-oxo-4H-chromene-2-carboxamide,CN(Cc1ccccc1)Cc1ccc(NC(=O)c2cc(=O)c3c(O)cc(O)cc3o2)cc1,1.9 ,µM,'=',,,UKDGPTGNTRBXLE-UHFFFAOYSA-N,430.152872,um,5.721246,0,CN(Cc1ccccc1)Cc1ccc(NC(=O)c2cc(=O)c3c(O)cc(O)cc3o2)cc1
206,PMID31852270,N-(4-((Benzyl(methyl)amino)methyl)phenyl)-67-dimethoxy-4-oxo-4H-chromene-2-carboxamide,COc1cc2oc(C(=O)Nc3ccc(CN(C)Cc4ccccc4)cc3)cc(=O)c2cc1OC,1.0 ,µM,'=',,,BYEQGOYNBDQNOI-UHFFFAOYSA-N,458.184172,um,6,1,COc1cc2oc(C(=O)Nc3ccc(CN(C)Cc4ccccc4)cc3)cc(=O)c2cc1OC
207,PMID31852270,N-(3-((Benzyl(methyl)amino)methyl)phenyl)-67-dimethoxy-4-oxo-4H-chromene-2-carboxamide,COc1cc2oc(C(=O)Nc3cccc(CN(C)Cc4ccccc4)c3)cc(=O)c2cc1OC,4.5 ,µM,'=',,,GLPOBZBQMRDBEA-UHFFFAOYSA-N,458.184172,um,5.346787,0,COc1cc2oc(C(=O)Nc3cccc(CN(C)Cc4ccccc4)c3)cc(=O)c2cc1OC
208,PMID31852270,N-(4-((Benzyl(methyl)amino)methyl)phenyl)-5-methoxy-4-oxo-14-dihydroquinoline-2-carboxamide,COc1cccc2[nH]c(C(=O)Nc3ccc(CN(C)Cc4ccccc4)cc3)cc(=O)c12,4.0 ,µM,'=',,,WRLDUKHPRPHMPI-UHFFFAOYSA-N,427.189592,um,5.39794,0,COc1cccc2[nH]c(C(=O)Nc3ccc(CN(C)Cc4ccccc4)cc3)cc(=O)c12
209,PMID31852270,N-(4-((Benzyl(methyl)amino)methyl)phenyl)-6-methoxy-4-oxo-14-dihydroquinoline-2-carboxamide,COc1ccc2[nH]c(C(=O)Nc3ccc(CN(C)Cc4ccccc4)cc3)cc(=O)c2c1,2.3 ,µM,'=',,,UYXGAWWKVGYABF-UHFFFAOYSA-N,427.189592,um,5.638272,0,COc1ccc2[nH]c(C(=O)Nc3ccc(CN(C)Cc4ccccc4)cc3)cc(=O)c2c1
210,PMID31852270,N-(4-((Benzyl(methyl)amino)methyl)phenyl)-6-hydroxy-4-oxo-14-dihydroquinoline-2-carboxamide,CN(Cc1ccccc1)Cc1ccc(NC(=O)c2cc(=O)c3cc(O)ccc3[nH]2)cc1,3.1 ,µM,'=',,,MHWXIXQMJNLZDQ-UHFFFAOYSA-N,413.173942,um,5.508638,0,CN(Cc1ccccc1)Cc1ccc(NC(=O)c2cc(=O)c3cc(O)ccc3[nH]2)cc1
211,PMID31852270,N-(4-((Benzyl(methyl)amino)methyl)phenyl)-7-methoxy-4-oxo-14-dihydroquinoline-2-carboxamide,COc1ccc2c(=O)cc(C(=O)Nc3ccc(CN(C)Cc4ccccc4)cc3)[nH]c2c1,2.3 ,µM,'=',,,RISZPUMPOOHFSR-UHFFFAOYSA-N,427.189592,um,5.638272,0,COc1ccc2c(=O)cc(C(=O)Nc3ccc(CN(C)Cc4ccccc4)cc3)[nH]c2c1
212,PMID31852270,N-(4-((benzyl(methyl)amino)methyl)phenyl)-67-dimethoxy-4-oxo-14-dihydroquinoline-2-carboxamide,COc1cc2[nH]c(C(=O)Nc3ccc(CN(C)Cc4ccccc4)cc3)cc(=O)c2cc1OC,4.5 ,µM,'=',,,PHAZELHZUUHUTB-UHFFFAOYSA-N,457.200156,um,5.346787,0,COc1cc2[nH]c(C(=O)Nc3ccc(CN(C)Cc4ccccc4)cc3)cc(=O)c2cc1OC
213,PMID32932702,13-bis[4-(o-cyanobenzylethylamino)butyl]-6-methyluracil,CCN(CCCCn1c(C)cc(=O)n(CCCCN(CC)Cc2ccccc2C#N)c1=O)Cc1ccccc1C#N,7,nM,'=',fixed,,HWHRMPMHFDVNAP-UHFFFAOYSA-N,554.336925,nm,8.154902,1,CCN(CCCCn1c(C)cc(=O)n(CCCCN(CC)Cc2ccccc2C#N)c1=O)Cc1ccccc1C#N
214,PMID32932702,13-bis[5-(o-cyanobenzylamino)pentyl]-6-methyluracil,Cc1cc(=O)n(CCCCCNCc2ccccc2C#N)c(=O)n1CCCCCNCc1ccccc1C#N,480,nM,'=',,,LCCSXIJDKYAOER-UHFFFAOYSA-N,526.305624,nm,6.318759,1,Cc1cc(=O)n(CCCCCNCc2ccccc2C#N)c(=O)n1CCCCCNCc1ccccc1C#N
215,PMID32932702,13-bis[4-(o-cyanobenzylethylamino)butyl]-quinazoline-24-dione ,CCN(CCCCn1c(=O)c2ccccc2n(CCCCN(CC)Cc2ccccc2C#N)c1=O)Cc1ccccc1C#N,5520,nM,'=',,,WDHXSUQILHXCGF-UHFFFAOYSA-N,590.336925,nm,5.258061,0,CCN(CCCCn1c(=O)c2ccccc2n(CCCCN(CC)Cc2ccccc2C#N)c1=O)Cc1ccccc1C#N
